"","DP063","DP108","DP123","DP137","DP138","DP140","DP151","DP184","DP195","DP206","DP229","DP235","DP237","DP064","DP132","DP147","DP173","DP099","DP102","DP107","DP122","DP124","DP126","DP129","DP139","DP143","DP157","DP179","DP192","DP193","DP197","DP096","DP106","DP112","DP114","DP117","DP152","DP162","DP167","DP169","DP174","DP176","DP208"
"Cer.40.1.2",-0.35548755145014,-0.450371225422756,-0.259093847272598,-0.468424918329745,-0.451526909459326,-0.321556690993393,-0.160160556102631,-0.418275165054748,-0.395960381318999,-0.564268370124055,-0.492082259896095,-0.506556228268409,-0.417269632550147,-0.52334011335059,-0.455333337925507,-0.458263575995571,-0.498345689766817,-0.418476066105525,-0.444210687904233,-0.355662554161923,-0.504979635760345,-0.325971933220186,-0.335753020055079,-0.291409935948686,-0.561475638973097,-0.416512392156309,-0.36487207986059,-0.517241862889205,-0.391374636400311,-0.460049345144675,-0.238982740339746,-0.453918982312731,-0.460893832938599,-0.439998027989235,-0.408522167829351,-0.272922873161831,-0.420142757847175,-0.506542458372101,-0.393172048584503,-0.422490511950383,-0.447772866251629,-0.549441462981288,-0.44423089357274
"Cer.40.2.2",-1.02459570962678,-1.10720507378341,-0.870371715917582,-1.06555617658682,-1.07409126230816,-0.849011582205961,-0.974702236946171,-0.958268311567772,-1.01998799217776,-1.20653283485958,-1.08356824703346,-1.25585376412305,-1.01683071105948,-1.31607405401925,-1.01812317881303,-1.04419403787567,-1.00553598831947,-0.946780390356948,-1.07693997817222,-1.06457912324766,-0.997535417892432,-1.00205570098361,-0.989210176388305,-0.923497782103415,-1.04208570568567,-0.941876736660776,-0.895072639026565,-1.103363914786,-0.8372161500846,-0.970356905377747,-0.870660781425317,-1.06607859578885,-1.08770699186512,-0.887852898606601,-0.983439083342895,-0.842797933332177,-1.0926157230318,-1.07268090406637,-0.938217535330359,-1.0063858657745,-1.07562628574286,-1.15731566435286,-0.837080270297002
"Cer.42.1.2",-0.0642561210296887,-0.000536964157562066,0.200748450510217,-0.00514856159885642,0.0501933125779239,0.10953834903526,0.15668521299027,-0.0188814140219346,0.000337125709728403,-0.110022419687399,-0.0175996253762911,-0.0119300847033524,-0.00160623671641092,0.0516588989499505,-0.0357879808720774,-0.0109163645811484,-0.00988275300927152,0.0127365574454424,0.00179960291645145,0.0762686603658976,-0.00808267038042826,0.118304932589103,0.194690328733735,0.148000554804319,-0.138413929465568,-0.0993140503276288,-0.0472612269442382,0.0283042669037264,0.0180965296843806,-0.00734187584695395,0.136522570179696,0.0277027841010456,-0.0457626245276348,0.0178807560304352,0.0226862245763104,0.176797098568,-0.00561241002964749,-0.0400015450415702,0.0255760325463482,0.0247318316881977,0.0363321930340507,-0.00327735727156022,-0.174455307153382
"Cer.42.2.2",-0.0679096991842537,-0.132324937668543,-0.014459882442931,-0.164275481742242,-0.131090394091293,-0.0914902500361789,-0.389619750015669,-0.191408612550486,-0.112692118805445,-0.240681659225172,-0.145789363434487,-0.267941940801846,-0.0898789476466004,-0.269368665660464,-0.136254716673821,-0.158673900657279,-0.171198566260699,-0.123140997840646,-0.0903849490065436,-0.137479577493588,-0.1794033378463,-0.124678848358733,-0.1378556071628,-0.0322867289410999,-0.100714247648479,-0.213053093884497,-0.0062310342179279,-0.115001498542229,-0.146995416687228,-0.166696161778297,-0.0460376168344871,-0.0955415716501457,-0.259477322066543,-0.0704836420587216,-0.0819886069146827,-0.109532047646208,-0.224647418866958,-0.152279845172128,-0.112188037157991,-0.11257303209293,-0.163883276493443,-0.0368519527352537,-0.0105023780839794
"DAG.18.1.0.18.1.0",0.600055620340671,0.523073693110562,0.490697520626528,0.316290999013705,0.31294517401997,0.49746976533521,0.350887807154244,0.257704019082804,1.58550000064589,0.377779755143339,0.370759594348485,0.281841740269526,0.481304409010618,0.441773451243634,0.339579460063035,0.448185640059953,0.444395200711537,0.63428279055431,0.689355277835239,0.620940459322985,0.445747366974413,0.276665262596033,0.434312536835866,0.607552397584722,0.38842503718698,0.451581491631541,0.860530176828924,0.660804605390669,0.367496495025133,0.468710349036936,0.72518251974621,0.54346981729258,0.492950201292406,0.352318574970728,0.670049040477609,0.454956866754278,0.459800007592774,0.681492634151348,0.539571762385137,0.582824214615044,0.521051282915656,0.503170985100709,0.526607248361091
"LPC.16.0.0",1.12718891105526,1.25071995533421,1.1994715869203,1.26738313421673,1.26821412057344,1.32144715237285,0.807408347729402,1.04533371886924,1.15262496551951,1.18198718574875,1.09650202697102,1.07723471171664,1.1157272276093,1.02257278746792,1.18376425620445,1.04215680649887,1.21609217937249,0.984839865337723,0.741920762205311,0.745227347759422,1.30706500953659,0.854748731089796,1.05306224457215,1.1698635172542,1.16150411770328,1.243202578236,1.14330331792564,1.08169133268185,1.114092992282,1.31391719260389,1.05684896343679,1.07833735293253,0.988939881035461,1.08705441014404,1.14962846866682,1.21920817519493,1.17599344121225,1.15235739051641,0.923509902080723,1.0474326067818,1.15938226828498,0.99296753292238,0.920768426672517
"LPC.16.1.0",-0.276150108888645,-0.389718352027039,-0.264674074732534,-0.185988807850421,-0.407763563304413,-0.0848412377910849,-0.608986311264943,-0.349915565886107,-0.174927391330921,-0.491027657593401,-0.20889957726814,-0.347243019210609,-0.358906743604019,-0.244999407472056,-0.442621824584429,-0.549758741765272,-0.452524685621165,-0.210899159057081,-0.413021859467292,-0.715667780298421,-0.331048128355088,-0.693173996794204,-0.216870313620056,-0.289647819413793,-0.209559385708663,0.315974904197054,-0.380266645695923,-0.0798732331067632,-0.505402529269885,-0.351521420394499,-0.3420779258491,-0.250111565022376,-0.457447230723841,-0.446640216527522,-0.450672792020918,-0.256128227249381,-0.281369366938838,-0.460907020874284,-0.672730739712593,-0.508643585368313,-0.415401416196487,-0.111035096768433,-0.216935107178287
"LPC.18.0.0",0.44893439509218,0.655010158333353,0.589146150959348,0.65819177005666,0.685586115347782,0.721999849215558,0.298507998985824,0.434560921127825,0.474108548840101,0.590014172839914,0.422407461103056,0.540686202530792,0.51021619354043,0.406858084269567,0.709223165936258,0.515273315871809,0.499028688280128,0.414819932481189,0.0535185631746746,0.167425161856283,0.704308918002461,0.188798444255506,0.403791556567443,0.560639346163186,0.521370222015304,0.433565793345051,0.477402560779697,0.439763388045643,0.485072583462776,0.66918866445732,0.43116989253232,0.494176764220882,0.400624007305643,0.533708800001303,0.590816971344136,0.645283763562081,0.627246031068656,0.589736966072474,0.322609516733675,0.47569284618993,0.582533306099373,0.423550195849128,0.250822509723809
"LPC.18.1.0",0.520994215036848,0.63097610973259,0.522888187067324,0.605988057444956,0.530151209173278,0.631505726333256,0.16758103898943,0.380255904523455,0.45577020486552,0.454617810868122,0.512726877581098,0.462461656150223,0.355321840192674,0.450845851955405,0.498250365795232,0.311937936507665,0.54887794996089,0.365072521451109,0.159051765844885,0.195764227699478,0.616623906597168,0.133164291156515,0.471822400002473,0.569222170055752,0.464496826486341,0.863363895317134,0.535119830293296,0.581715583526611,0.338528014001488,0.632434606835547,0.497262536428601,0.448909448427864,0.254630392500166,0.470014650960113,0.507391922232652,0.518802772595085,0.471121140055245,0.598804910713774,0.179345658868054,0.393519532858498,0.406722977916579,0.528559925160536,0.435025196467411
"LPC.18.2.0",0.45703787164508,0.610993944524353,0.6368672052159,0.652931326230574,0.665527403879028,0.619661409619838,0.0384499578471488,0.488156248008629,0.521087412292312,0.435416078048101,0.393119664978132,0.600900801212363,0.347277064542918,0.450204475455556,0.640313205472235,0.361450449960987,0.550855198115646,0.381630333882509,0.0510910537346039,0.204032837236808,0.742910801929544,0.271673296716832,0.478768642306629,0.60136588322451,0.542701716073264,0.237504410085368,0.475163422804536,0.326575287547279,0.418006705342338,0.89444871752111,0.408411990498837,0.365021791408177,0.3590056424816,0.469292691401,0.58400455257121,0.578547704507298,0.433771050670729,0.501375712325763,0.240415240817979,0.362605169490708,0.466184030679641,0.345018046024143,0.408349596756055
"LPC.20.4.0",-0.0290722854391033,-0.0715529941837773,0.0862093286837727,-0.0655811791196128,-0.0427668674945604,0.170462596516708,-0.358732557554824,-0.160802334222804,-0.173243450236543,-0.00864236846690419,-0.143184145903254,-0.387433190966384,-0.169274341352699,-0.0981340482653173,-0.093958916185614,-0.11468403118318,0.0909687386835665,-0.098899882666246,-0.22913693719823,-0.304226799367367,0.166450934306678,-0.404130142533255,-0.112256759449734,-0.00171664942448016,-0.214997006278102,-0.0558079714631155,0.0761979239744612,-0.0869193985411243,-0.0591548426980503,0.255636475183067,-0.213347315899266,-0.022594452123913,-0.248682736286557,-0.0134885479556622,-0.136329064324429,-0.238114469274172,-0.0679040098000104,-0.0493418698787407,-0.215605570827629,-0.316547469016911,-0.227341818394929,-0.346166277015435,-0.154967157418234
